Date,Price
03/04/2023,7345.96
04/04/2023,7344.96
05/04/2023,7316.30
06/04/2023,7324.75
11/04/2023,7390.28
12/04/2023,7396.94
13/04/2023,7480.83
14/04/2023,7519.61
17/04/2023,7498.18
18/04/2023,7533.63
19/04/2023,7549.44
20/04/2023,7538.71
21/04/2023,7577.00
24/04/2023,7573.86
25/04/2023,7531.61
26/04/2023,7466.66
27/04/2023,7483.84
28/04/2023,7491.50
02/05/2023,7383.20
03/05/2023,7403.83
04/05/2023,7340.77
05/05/2023,7432.93
08/05/2023,7440.91
09/05/2023,7397.17
10/05/2023,7361.20
11/05/2023,7381.78
12/05/2023,7414.85
15/05/2023,7418.21
16/05/2023,7406.01
17/05/2023,7399.44
18/05/2023,7446.89
19/05/2023,7491.96
22/05/2023,7478.16
23/05/2023,7378.71
24/05/2023,7253.46
25/05/2023,7229.27
26/05/2023,7319.18
29/05/2023,7303.81
30/05/2023,7209.75
31/05/2023,7098.70
01/06/2023,7137.43
02/06/2023,7270.69
05/06/2023,7200.91
06/06/2023,7209.00
07/06/2023,7202.79
08/06/2023,7222.15
09/06/2023,7213.14
12/06/2023,7250.35
13/06/2023,7290.80
14/06/2023,7328.53
15/06/2023,7290.91
16/06/2023,7388.65
19/06/2023,7314.05
20/06/2023,7294.17
21/06/2023,7260.97
22/06/2023,7203.28
23/06/2023,7163.42
26/06/2023,7184.35
27/06/2023,7215.58
28/06/2023,7286.32
29/06/2023,7312.73
30/06/2023,7400.06
03/07/2023,7386.70
04/07/2023,7369.93
05/07/2023,7310.81
06/07/2023,7082.29
07/07/2023,7111.88
10/07/2023,7143.69
11/07/2023,7220.01
12/07/2023,7333.01
13/07/2023,7369.80
14/07/2023,7374.54
17/07/2023,7291.66
18/07/2023,7319.18
19/07/2023,7326.94
20/07/2023,7384.91
21/07/2023,7432.77
24/07/2023,7427.31
25/07/2023,7415.45
26/07/2023,7315.07
27/07/2023,7465.24
28/07/2023,7476.47
31/07/2023,7497.78
01/08/2023,7406.08
02/08/2023,7312.84
03/08/2023,7260.53
04/08/2023,7315.07
07/08/2023,7319.76
08/08/2023,7269.47
09/08/2023,7322.04
10/08/2023,7433.62
11/08/2023,7340.19
14/08/2023,7348.84
15/08/2023,7267.70
16/08/2023,7260.25
17/08/2023,7191.74
18/08/2023,7164.11
21/08/2023,7198.06
22/08/2023,7240.88
23/08/2023,7246.62
24/08/2023,7214.46
25/08/2023,7229.60
28/08/2023,7324.71
29/08/2023,7373.43
30/08/2023,7364.40
31/08/2023,7316.70
01/09/2023,7296.77
04/09/2023,7279.51
05/09/2023,7254.72
