Day,Demand
1,115.00
2,131.20
3,134.13
4,119.05
5,103.24
6,90.23
7,88.21
8,101.36
9,116.29
10,116.61
11,99.68
12,83.15
13,69.25
14,70.73
15,84.95
16,103.37
17,104.11
18,95.82
19,80.93
20,72.24
21,75.95
22,98.10
23,117.15
24,121.13
25,113.95
26,101.89
27,93.14
28,95.85
29,116.42
30,132.04
31,135.42
32,123.83
33,108.60
34,92.77
35,96.10
36,110.09
37,122.90
38,121.00
39,110.69
40,90.62
41,73.91
42,75.82
43,91.78
44,105.38
45,105.03
46,97.24
47,79.23
48,68.57
49,73.55
50,94.39
51,109.12
52,117.41
53,110.55
54,96.36
55,85.92
56,96.30
57,114.82
58,129.53
59,135.54
60,128.12
61,110.62
62,96.22
63,102.48
64,115.57
65,128.30
66,129.18
67,118.59
68,94.73
69,82.33
70,84.02
71,96.82
72,107.23
73,112.65
74,100.61
75,79.26
76,68.69
77,75.31
78,91.45
79,105.40
80,114.73
81,105.46
82,90.16
83,81.96
84,92.06
85,107.32
86,127.39
87,134.68
88,125.99
89,107.51
90,101.31
91,105.84
92,118.13
93,133.38
94,138.10
95,124.72
96,101.57
97,91.25
98,91.06
99,102.76
100,114.88
101,118.98
102,102.18
103,84.29
104,72.79
105,75.72
106,88.33
107,107.95
108,113.13
109,100.85
110,86.18
111,80.32
112,86.58
113,102.03
114,124.17
115,130.12
116,121.35
117,106.09
118,100.47
119,102.45
120,120.62
121,137.48
122,141.04
123,126.56
124,111.29
125,98.72
126,97.03
127,110.38
128,125.37
129,125.63
130,108.49
131,91.64
132,77.30
133,78.25
134,91.87
135,109.64
136,109.73
137,100.81
138,85.31
139,76.09
140,79.36
141,101.18
142,120.03
143,123.94
144,116.84
145,104.98
146,96.55
147,99.70
148,120.80
149,137.02
150,141.04
151,130.10
152,115.52
153,100.29
154,104.15
155,118.58
156,131.71
157,130.02
158,119.78
159,99.64
160,82.73
161,84.30
162,99.83
163,112.90
164,111.95
165,103.52
166,84.85
167,73.55
168,77.94
169,98.24
170,112.54
171,120.50
172,113.43
173,99.18
174,88.80
175,99.38
176,118.23
177,133.39
178,139.92
179,133.10
180,116.25
181,102.50
182,109.40
183,123.09
184,136.35
185,137.66
186,127.41
187,103.74
188,91.42
189,93.04
190,105.64
191,115.72
192,120.69
193,108.12
194,86.18
195,74.97
196,80.93
197,96.43
198,109.78
199,118.58
200,108.87
201,93.25
202,84.84
203,94.87
204,110.20
205,130.47
206,138.09
207,129.84
208,111.89
209,106.29
210,111.47
211,124.41
212,140.30
213,145.62
214,132.76
215,110.06
216,100.07
217,100.08
218,111.84
219,123.90
220,127.79
221,110.66
222,92.34
223,80.31
224,82.63
225,94.61
226,113.57
227,118.11
228,105.24
229,90.03
230,83.73
231,89.66
232,104.91
233,126.98
234,133.00
235,124.44
236,109.50
237,104.32
238,106.84
239,125.60
240,143.10
241,147.32
242,133.48
243,118.81
244,106.77
245,105.51
246,119.19
247,134.39
248,134.72
249,117.51
250,100.45
251,85.78
252,86.30
253,99.39
254,116.56
255,116.01
256,106.43
257,90.29
258,80.47
259,83.21
260,104.60
261,123.12
262,126.83
263,119.65
264,107.86
265,99.64
266,103.11
267,124.65
268,141.40
269,146.03
270,135.73
271,121.80
272,107.21
273,111.67
274,126.63
275,140.20
276,138.83
277,128.80
278,108.72
279,91.75
280,93.12
281,108.32
282,120.95
283,119.46
284,110.44
285,91.13
286,79.18
287,82.92
288,102.63
289,116.39
290,123.91
291,116.52
292,102.06
293,91.62
294,102.26
295,121.32
296,136.80
297,143.78
298,137.48
299,121.23
300,108.12
301,115.68
302,130.00
303,143.86
304,145.71
305,135.89
306,112.56
307,100.44
308,102.12
309,114.66
310,124.53
311,129.18
312,116.17
313,93.70
314,81.89
315,87.21
316,102.05
317,114.76
318,122.96
319,112.72
320,96.66
321,87.93
322,97.76
323,113.02
324,133.35
325,141.17
326,133.25
327,115.74
328,110.67
329,116.45
330,130.03
331,146.58
332,152.54
333,140.28
334,118.11
335,108.55
336,108.90
337,120.86
338,132.98
339,136.81
340,119.48
341,100.82
342,88.35
343,90.15
344,101.53
345,119.85
346,123.73
347,110.22
348,94.41
349,87.58
350,93.08
